"AAR","AARMND","ANTALL_ARBEIDSSOKERE","BOSTED_FYLKE_NR_NAVN","ALDER_GRUPPE_5AARIG","HOVEDGRUPPETEKST","KJONN"
2024,202406,200,"33 Buskerud","35-39 år","Helt ledige","Kvinner"
2024,202402,60,"33 Buskerud","55-59 år","Helt ledige","Kvinner"
2024,202403,38,"33 Buskerud","20-24 år","Delvis ledige","Kvinner"
2025,202505,288,"33 Buskerud","35-39 år","Helt ledige","Menn"
2025,202501,255,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202405,26,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2025,202504,16,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202412,49,"33 Buskerud","65-69 år","Helt ledige","Menn"
2024,202405,61,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2024,202405,13,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202411,74,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,126,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202402,37,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202502,62,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2024,202403,60,"33 Buskerud","25-29 år","Delvis ledige","Kvinner"
2025,202504,12,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202501,14,"33 Buskerud","65-69 år","Delvis ledige","Menn"
2024,202408,60,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2024,202401,120,"33 Buskerud","45-49 år","Helt ledige","Kvinner"
2024,202406,66,"33 Buskerud","55-59 år","Helt ledige","Kvinner"
2024,202412,62,"33 Buskerud","25-29 år","Delvis ledige","Kvinner"
2024,202405,35,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2025,202501,19,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2025,202507,198,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2025,202508,32,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2025,202504,46,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2024,202408,17,"33 Buskerud","65-69 år","Delvis ledige","Menn"
2024,202407,18,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2025,202504,19,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Menn"
2025,202505,2,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Kvinner"
2025,202501,1,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,69,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2024,202404,291,"33 Buskerud","35-39 år","Helt ledige","Menn"
2024,202401,16,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202504,70,"33 Buskerud","50-54 år","Delvis ledige","Menn"
2024,202401,58,"33 Buskerud","25-29 år","Delvis ledige","Kvinner"
2025,202508,135,"33 Buskerud","45-49 år","Helt ledige","Kvinner"
2024,202410,86,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202402,204,"33 Buskerud","35-39 år","Helt ledige","Kvinner"
2024,202404,58,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2024,202409,45,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202507,64,"33 Buskerud","35-39 år","Delvis ledige","Kvinner"
2024,202401,52,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202410,33,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,99,"33 Buskerud","60-64 år","Helt ledige","Menn"
2024,202403,28,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2024,202402,11,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202505,26,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2024,202410,74,"33 Buskerud","40-44 år","Delvis ledige","Menn"
2025,202502,37,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202507,39,"33 Buskerud","55-59 år","Delvis ledige","Kvinner"
2024,202409,53,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,14,"33 Buskerud","65-69 år","Delvis ledige","Menn"
2024,202404,5,"33 Buskerud","65-69 år","Delvis ledige","Kvinner"
2024,202401,19,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Menn"
2024,202411,12,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2025,202505,3,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Menn"
2024,202405,3,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Menn"
2025,202507,161,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202411,139,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2024,202410,135,"33 Buskerud","45-49 år","Helt ledige","Kvinner"
2024,202408,15,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202407,40,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202506,217,"33 Buskerud","35-39 år","Helt ledige","Kvinner"
2024,202404,57,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2025,202502,82,"33 Buskerud","35-39 år","Delvis ledige","Menn"
2024,202412,31,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202401,251,"33 Buskerud","20-24 år","Helt ledige","Menn"
2024,202410,85,"33 Buskerud","60-64 år","Helt ledige","Menn"
2025,202507,45,"33 Buskerud","30-34 år","Delvis ledige","Kvinner"
2025,202506,34,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2024,202401,23,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202411,20,"33 Buskerud","65-69 år","Helt ledige","Kvinner"
2025,202505,8,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Kvinner"
2024,202409,52,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Menn"
2024,202405,33,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202407,41,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2024,202401,64,"33 Buskerud","40-44 år","Delvis ledige","Menn"
2024,202412,47,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2025,202507,276,"33 Buskerud","30-34 år","Helt ledige","Menn"
2024,202412,68,"33 Buskerud","45-49 år","Delvis ledige","Menn"
2024,202403,69,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2025,202508,46,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2024,202404,82,"33 Buskerud","35-39 år","Delvis ledige","Kvinner"
2025,202501,42,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2024,202406,22,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,294,"33 Buskerud","35-39 år","Helt ledige","Menn"
2024,202402,67,"33 Buskerud","25-29 år","Delvis ledige","Kvinner"
2025,202501,115,"33 Buskerud","60-64 år","Helt ledige","Menn"
2024,202403,83,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2025,202502,63,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2025,202504,98,"33 Buskerud","35-39 år","Delvis ledige","Kvinner"
2025,202505,31,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202410,20,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202401,22,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202502,63,"33 Buskerud","45-49 år","Delvis ledige","Menn"
2024,202409,175,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2024,202407,106,"33 Buskerud","20-24 år","Helt ledige","Kvinner"
2025,202503,148,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2025,202507,201,"33 Buskerud","45-49 år","Helt ledige","Menn"
2024,202407,194,"33 Buskerud","20-24 år","Helt ledige","Menn"
2024,202404,138,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2024,202404,76,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2024,202412,92,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2024,202401,41,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2025,202508,31,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2025,202501,69,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2024,202401,131,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202401,58,"33 Buskerud","55-59 år","Delvis ledige","Kvinner"
2024,202411,46,"33 Buskerud","19 år og under","Helt ledige","Menn"
2024,202412,37,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2024,202406,61,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202406,19,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2024,202401,24,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202506,42,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202505,83,"33 Buskerud","30-34 år","Delvis ledige","Kvinner"
2024,202410,4,"33 Buskerud","65-69 år","Delvis ledige","Kvinner"
2025,202504,154,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2024,202407,249,"33 Buskerud","35-39 år","Helt ledige","Menn"
2025,202503,42,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202407,47,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2025,202503,75,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2024,202405,92,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,249,"33 Buskerud","30-34 år","Helt ledige","Menn"
2024,202408,136,"33 Buskerud","45-49 år","Helt ledige","Kvinner"
2024,202406,193,"33 Buskerud","20-24 år","Helt ledige","Menn"
2025,202505,67,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2025,202508,97,"33 Buskerud","35-39 år","Delvis ledige","Kvinner"
2024,202401,69,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2025,202503,78,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2025,202501,62,"33 Buskerud","50-54 år","Delvis ledige","Menn"
2025,202506,82,"33 Buskerud","30-34 år","Delvis ledige","Kvinner"
2024,202410,159,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2025,202501,108,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2025,202505,211,"33 Buskerud","25-29 år","Helt ledige","Menn"
2025,202504,15,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202410,70,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2025,202502,2,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,14,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202406,31,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202410,14,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2025,202506,24,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202403,21,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202508,3,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Menn"
2025,202508,225,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202410,198,"33 Buskerud","20-24 år","Helt ledige","Menn"
2025,202503,66,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,62,"33 Buskerud","35-39 år","Delvis ledige","Menn"
2024,202410,189,"33 Buskerud","45-49 år","Helt ledige","Menn"
2025,202502,229,"33 Buskerud","30-34 år","Helt ledige","Kvinner"
2024,202409,56,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2024,202404,191,"33 Buskerud","45-49 år","Helt ledige","Menn"
2024,202404,102,"33 Buskerud","20-24 år","Helt ledige","Kvinner"
2025,202508,27,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2024,202407,54,"33 Buskerud","45-49 år","Delvis ledige","Kvinner"
2025,202501,14,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Menn"
2024,202402,19,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2025,202508,46,"33 Buskerud","20-24 år","Delvis ledige","Menn"
2025,202507,38,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2024,202403,7,"33 Buskerud","19 år og under","Delvis ledige","Kvinner"
2024,202408,78,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2025,202508,238,"33 Buskerud","35-39 år","Helt ledige","Kvinner"
2024,202410,17,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202411,258,"33 Buskerud","35-39 år","Helt ledige","Menn"
2024,202408,258,"33 Buskerud","30-34 år","Helt ledige","Menn"
2025,202503,223,"33 Buskerud","45-49 år","Helt ledige","Menn"
2024,202405,82,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2024,202406,32,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202506,45,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202505,62,"33 Buskerud","50-54 år","Delvis ledige","Menn"
2025,202503,237,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202403,42,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2025,202504,86,"33 Buskerud","45-49 år","Delvis ledige","Kvinner"
2024,202409,93,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2025,202508,24,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2025,202504,50,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Menn"
2024,202409,37,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202504,135,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2025,202508,33,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202501,38,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202508,68,"33 Buskerud","45-49 år","Delvis ledige","Kvinner"
2024,202407,46,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2024,202403,39,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202408,52,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2025,202506,55,"33 Buskerud","65-69 år","Helt ledige","Menn"
2024,202405,50,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202406,6,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Kvinner"
2024,202402,8,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Kvinner"
2025,202507,6,"33 Buskerud","19 år og under","Delvis ledige","Menn"
2024,202403,69,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2025,202503,58,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2024,202408,257,"33 Buskerud","35-39 år","Helt ledige","Menn"
2024,202407,30,"33 Buskerud","60-64 år","Delvis ledige","Kvinner"
2024,202403,195,"33 Buskerud","35-39 år","Helt ledige","Kvinner"
2024,202401,122,"33 Buskerud","20-24 år","Helt ledige","Kvinner"
2024,202412,100,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2024,202408,205,"33 Buskerud","25-29 år","Helt ledige","Menn"
2025,202505,48,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Menn"
2024,202412,99,"33 Buskerud","35-39 år","Delvis ledige","Kvinner"
2025,202505,52,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Menn"
2024,202410,75,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2025,202502,83,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2024,202406,21,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Menn"
2025,202503,168,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202411,93,"33 Buskerud","60-64 år","Helt ledige","Menn"
2025,202504,22,"33 Buskerud","65-69 år","Helt ledige","Kvinner"
2024,202406,113,"33 Buskerud","45-49 år","Helt ledige","Kvinner"
2025,202507,77,"33 Buskerud","55-59 år","Helt ledige","Kvinner"
2025,202501,43,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2025,202507,53,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2024,202405,24,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Menn"
2024,202402,25,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202411,1,"33 Buskerud","70 år og over","Helt ledige","Menn"
2024,202407,64,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,218,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202412,43,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202502,118,"33 Buskerud","60-64 år","Helt ledige","Menn"
2025,202508,152,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202402,43,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202506,92,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2024,202401,127,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2024,202401,136,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2024,202402,101,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2025,202508,58,"33 Buskerud","35-39 år","Delvis ledige","Menn"
2024,202404,28,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202408,48,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2025,202506,24,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2025,202508,37,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2024,202412,75,"33 Buskerud","30-34 år","Delvis ledige","Kvinner"
2025,202505,43,"33 Buskerud","19 år og under","Helt ledige","Menn"
2024,202406,60,"33 Buskerud","50-54 år","Delvis ledige","Menn"
2025,202507,25,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Menn"
2025,202508,8,"33 Buskerud","19 år og under","Delvis ledige","Menn"
2024,202404,25,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2024,202408,15,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202409,39,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202504,8,"33 Buskerud","65-69 år","Delvis ledige","Kvinner"
2025,202503,6,"33 Buskerud","19 år og under","Delvis ledige","Menn"
2025,202507,38,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2024,202409,48,"33 Buskerud","65-69 år","Helt ledige","Menn"
2025,202508,46,"33 Buskerud","19 år og under","Helt ledige","Menn"
2024,202402,40,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2025,202503,50,"33 Buskerud","65-69 år","Helt ledige","Menn"
2024,202405,75,"33 Buskerud","30-34 år","Delvis ledige","Menn"
2025,202503,56,"33 Buskerud","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202505,44,"33 Buskerud","60-64 år","Helt ledige","Kvinner"
2025,202506,3,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Menn"
2024,202401,16,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2025,202507,221,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202409,91,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2024,202410,47,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202403,232,"33 Buskerud","40-44 år","Helt ledige","Menn"
2025,202506,179,"33 Buskerud","50-54 år","Helt ledige","Menn"
2025,202501,151,"33 Buskerud","55-59 år","Helt ledige","Menn"
2025,202505,69,"33 Buskerud","55-59 år","Helt ledige","Kvinner"
2024,202412,54,"33 Buskerud","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2025,202506,75,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2025,202501,39,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2025,202507,47,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202405,60,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Menn"
2024,202403,30,"33 Buskerud","60-64 år","Delvis ledige","Kvinner"
2024,202410,59,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2024,202402,61,"33 Buskerud","45-49 år","Delvis ledige","Menn"
2025,202507,8,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,9,"33 Buskerud","19 år og under","Delvis ledige","Menn"
2024,202411,75,"33 Buskerud","30-34 år","Delvis ledige","Kvinner"
2024,202406,1,"33 Buskerud","70 år og over","Helt ledige","Menn"
2025,202502,302,"33 Buskerud","30-34 år","Helt ledige","Menn"
2024,202402,297,"33 Buskerud","30-34 år","Helt ledige","Menn"
2024,202406,42,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202506,16,"33 Buskerud","65-69 år","Delvis ledige","Menn"
2024,202406,43,"33 Buskerud","60-64 år","Delvis ledige","Kvinner"
2024,202412,17,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202506,121,"33 Buskerud","60-64 år","Helt ledige","Menn"
2025,202502,60,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Menn"
2025,202502,49,"33 Buskerud","19 år og under","Helt ledige","Menn"
2024,202407,28,"33 Buskerud","20-24 år","Delvis ledige","Menn"
2025,202506,72,"33 Buskerud","55-59 år","Helt ledige","Kvinner"
2025,202503,57,"33 Buskerud","55-59 år","Delvis ledige","Kvinner"
2025,202501,22,"33 Buskerud","65-69 år","Helt ledige","Kvinner"
2025,202508,12,"33 Buskerud","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202403,18,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202410,47,"33 Buskerud","25-29 år","Arbeidssøkere på tiltak","Menn"
2024,202406,17,"33 Buskerud","65-69 år","Helt ledige","Kvinner"
2024,202407,32,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202508,56,"33 Buskerud","50-54 år","Delvis ledige","Kvinner"
2024,202403,80,"33 Buskerud","40-44 år","Delvis ledige","Menn"
2025,202504,225,"33 Buskerud","25-29 år","Helt ledige","Menn"
2024,202407,29,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202411,49,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2025,202508,42,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2024,202406,55,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2024,202402,5,"33 Buskerud","19 år og under","Delvis ledige","Menn"
2025,202508,127,"33 Buskerud","20-24 år","Helt ledige","Kvinner"
2025,202507,21,"33 Buskerud","19 år og under","Helt ledige","Kvinner"
2025,202501,179,"33 Buskerud","40-44 år","Helt ledige","Kvinner"
2025,202507,42,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2025,202501,34,"33 Buskerud","19 år og under","Arbeidssøkere på tiltak","Menn"
2024,202410,54,"33 Buskerud","19 år og under","Helt ledige","Menn"
2025,202502,50,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202504,2,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Kvinner"
2025,202508,250,"33 Buskerud","40-44 år","Helt ledige","Menn"
2025,202507,152,"33 Buskerud","25-29 år","Helt ledige","Kvinner"
2024,202407,60,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2024,202411,45,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2024,202407,98,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2024,202404,50,"33 Buskerud","60-64 år","Delvis ledige","Menn"
2025,202501,270,"33 Buskerud","40-44 år","Helt ledige","Menn"
2024,202410,86,"33 Buskerud","40-44 år","Delvis ledige","Kvinner"
2024,202409,24,"33 Buskerud","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202401,54,"33 Buskerud","25-29 år","Delvis ledige","Menn"
2024,202402,60,"33 Buskerud","20-24 år","Delvis ledige","Menn"
2025,202504,84,"33 Buskerud","20-24 år","Helt ledige","Kvinner"
2024,202406,35,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2025,202503,61,"33 Buskerud","55-59 år","Delvis ledige","Menn"
2024,202401,83,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202410,125,"33 Buskerud","55-59 år","Helt ledige","Menn"
2024,202409,41,"33 Buskerud","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202411,28,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2024,202408,32,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Menn"
2025,202503,23867,"I alt","I alt","Delvis ledige","I alt"
2024,202410,58052,"I alt","I alt","Helt ledige","I alt"
2024,202405,56300,"I alt","I alt","Helt ledige","I alt"
2024,202405,15266,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202505,59566,"I alt","I alt","Helt ledige","I alt"
2024,202401,22501,"I alt","I alt","Delvis ledige","I alt"
2024,202410,22127,"I alt","I alt","Delvis ledige","I alt"
2024,202403,61071,"I alt","I alt","Helt ledige","I alt"
2024,202407,16965,"I alt","I alt","Delvis ledige","I alt"
2024,202406,13282,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202508,64702,"I alt","I alt","Helt ledige","I alt"
2024,202402,62506,"I alt","I alt","Helt ledige","I alt"
2025,202501,21854,"I alt","I alt","Delvis ledige","I alt"
2024,202404,15739,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202405,23444,"I alt","I alt","Delvis ledige","I alt"
2025,202506,12467,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202406,56953,"I alt","I alt","Helt ledige","I alt"
2024,202403,24830,"I alt","I alt","Delvis ledige","I alt"
2024,202409,21489,"I alt","I alt","Delvis ledige","I alt"
2025,202508,10135,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202403,15292,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202409,14768,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202507,17797,"I alt","I alt","Delvis ledige","I alt"
2024,202412,60577,"I alt","I alt","Helt ledige","I alt"
2024,202404,58406,"I alt","I alt","Helt ledige","I alt"
2024,202411,58888,"I alt","I alt","Helt ledige","I alt"
2025,202507,9258,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202401,13777,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202503,18478,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202505,23227,"I alt","I alt","Delvis ledige","I alt"
2024,202404,24253,"I alt","I alt","Delvis ledige","I alt"
2024,202412,23589,"I alt","I alt","Delvis ledige","I alt"
2025,202501,16689,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202504,22565,"I alt","I alt","Delvis ledige","I alt"
2025,202503,64503,"I alt","I alt","Helt ledige","I alt"
2025,202502,23662,"I alt","I alt","Delvis ledige","I alt"
2024,202409,58860,"I alt","I alt","Helt ledige","I alt"
2024,202408,12954,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202407,11422,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2025,202504,60622,"I alt","I alt","Helt ledige","I alt"
2024,202412,16689,"I alt","I alt","Arbeidssøkere på tiltak","I alt"
2024,202408,60933,"I alt","I alt","Helt ledige","I alt"
